MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,FL_NUM,ORIGIN,DEST,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,SOURCE_ROW,RANDOM_VALUE
1,16,1,UA,673,DFW,IAH,-7,15,1935,2026,5,-5,0,0,51,224,1356,0.016185847428599853
1,12,4,NK,159,EWR,MCO,18,18,1856,2107,14,17,0,0,131,937,1130,0.016535574665869857
1,19,4,WN,1202,PHL,PBI,-1,10,649,848,5,-47,0,0,119,951,1704,0.016881358371016897
1,21,6,UA,1179,LAS,IAH,1,15,1546,2002,9,-17,0,0,136,1222,1223,0.017117890280639703
1,26,4,DL,1177,ATL,CLT,-5,20,1650,1731,7,-11,0,0,41,226,821,0.01712660278128042
1,1,7,WN,609,SMF,DAL,10,8,1438,1924,4,3,0,0,166,1442,1730,0.017470879710515086
1,11,3,AA,1145,ORD,SFO,-1,12,726,1013,4,21,0,0,287,1846,83,0.01824839789635402
1,31,2,AA,1743,DFW,CLT,-6,18,2047,2346,7,-6,0,0,119,936,32,0.018755342132337205
1,7,6,NK,193,IAH,LAS,-1,20,921,1017,5,4,0,0,176,1222,1143,0.018782520050725005
1,19,4,WN,4692,AUS,ATL,-5,9,1754,2030,6,-19,0,0,96,813,1569,0.019024653770545186
1,4,3,NK,469,FLL,DFW,-4,11,752,939,10,-10,0,0,167,1119,1059,0.019285254718526712
1,28,6,NK,612,MSP,ORD,17,15,708,808,20,18,0,0,60,334,933,0.020099134887292203
1,21,6,AA,2558,TPA,DFW,-6,11,1335,1458,12,-15,0,0,143,929,184,0.02092415492614519
1,12,4,WN,681,MCO,BWI,-2,9,1647,1839,5,-1,0,0,112,787,1669,0.021298703890033965
1,24,2,UA,1720,SFO,ATL,-3,13,1050,1747,10,-23,0,0,237,2139,1454,0.021371686409545232
1,17,2,AA,610,ATL,DFW,-4,22,1638,1746,16,10,0,0,128,731,97,0.02196838117850819
1,10,2,NK,252,MCO,ATL,7,24,731,838,13,13,0,0,67,404,989,0.022558809005004732
1,18,3,WN,198,PHX,SMF,-5,13,1208,1301,3,-1,0,0,113,647,1513,0.023052097107159497
1,3,2,UA,1954,DCA,IAH,-1,11,1750,1956,5,-24,0,0,186,1208,1178,0.023848312545612038
1,23,1,DL,1128,MCO,DTW,-3,14,1918,2132,10,-7,0,0,134,957,781,0.024445306049599602
1,24,2,AA,649,PHX,DFW,1,22,1022,1305,10,-14,0,0,103,868,235,0.024960650843249832
1,24,2,DL,2191,LAX,MSP,41,19,1410,1912,3,14,0,0,182,1535,733,0.025832156012001506
1,8,7,NK,763,MSP,LAS,-3,12,2015,2125,9,2,0,0,190,1299,911,0.02628798157730783
1,5,4,AA,1243,ORD,LAX,-3,15,712,955,34,48,0,0,283,1744,110,0.027023075009550812
1,7,6,AA,2528,DFW,HDN,22,14,1431,1552,5,44,0,0,141,769,52,0.027028929156647896
1,6,5,UA,1220,IAH,SMF,109,19,2333,127,8,110,0,0,234,1609,1191,0.027116194211306843
1,7,6,B6,966,RSW,BOS,-1,13,612,828,8,-22,0,0,136,1249,461,0.027559022746569628
1,22,7,B6,1652,MCO,BOS,5,9,1403,1658,10,29,0,0,175,1121,416,0.02879317406360704
1,22,7,DL,1107,CHS,ATL,186,24,2025,2122,6,184,0,0,57,259,672,0.029481709752949614
1,23,1,NK,606,RSW,DTW,-7,12,705,923,20,-5,0,0,138,1084,1097,0.029818804072674676
1,24,2,WN,1123,PHX,ABQ,14,11,855,938,4,7,0,0,43,328,1567,0.030235011635201925
1,18,3,UA,220,ORD,MSP,0,15,1945,2042,12,-9,0,0,57,334,1392,0.03063154476684704
1,27,5,WN,356,SFO,LAS,39,13,1747,1858,6,44,0,0,71,414,1724,0.030634458436403
1,12,4,NK,403,LAX,ATL,10,18,958,1628,14,-2,0,0,210,1946,951,0.03091424433610046
1,30,1,WN,1678,MDW,PDX,-3,10,857,1115,4,-6,0,0,258,1751,1664,0.031247143800521293
1,31,2,B6,976,FLL,PHL,2,14,2049,2257,6,-7,0,0,128,992,321,0.03210080962125261
1,16,1,NK,452,ATL,MSP,-14,13,1408,1518,4,-20,0,0,130,907,1121,0.0335855879913286
1,6,5,AA,1568,DFW,MCI,-6,34,1418,1522,8,11,0,0,64,460,104,0.03370150965972163
1,14,6,UA,1116,OMA,ORD,-6,14,803,859,17,-23,0,0,56,416,1441,0.03416670147019951
1,4,3,UA,1418,PHX,IAH,22,18,907,1156,5,4,0,0,109,1009,1388,0.03430130890077654
1,1,7,WN,3434,DEN,LAX,-1,12,2201,2312,16,8,0,0,131,862,1756,0.03452283691130831
1,24,2,UA,1879,SAN,IAH,-7,19,1502,1933,10,-19,0,0,151,1303,1245,0.034927587971447904
1,7,6,UA,1612,TPA,EWR,-5,9,606,802,14,-25,0,0,116,997,1258,0.035167631642331165
1,12,4,B6,2019,ORH,FLL,-3,8,1738,2024,6,-28,0,0,166,1211,437,0.035517597220972696
1,10,2,WN,4853,MCI,SAN,-3,17,1844,2015,3,23,0,0,211,1334,1565,0.03697613043031167
1,18,3,UA,761,LGA,ORD,27,20,647,739,9,12,0,0,112,733,1422,0.03704670466000992
1,13,5,B6,1331,BOS,LGA,-3,26,1743,1837,5,-5,0,0,54,184,388,0.03716864747289894
1,26,4,DL,24,MIA,ATL,4,17,1606,1737,8,-5,0,0,91,594,621,0.0378874213065048
1,8,7,B6,2070,FLL,BOS,116,27,1655,1937,5,115,0,0,162,1237,442,0.0379668960406605
1,9,1,NK,149,EWR,MCO,-1,20,1034,1237,11,-11,0,0,123,937,920,0.038782438055673385
1,18,3,UA,1877,DEN,IAH,0,12,707,1005,9,-5,0,0,118,862,1364,0.03896095321297033
1,27,5,B6,8,LAS,FLL,10,16,2154,444,5,-10,0,0,230,2173,566,0.03965435178447585
1,18,3,DL,1963,DCA,ATL,-5,15,610,739,6,-12,0,0,89,547,875,0.03974547444428145
1,21,6,DL,1282,DTW,FLL,-2,14,1215,1501,10,-3,0,0,166,1127,840,0.03979679615670506
1,8,7,WN,5588,MSY,HOU,1,6,1447,1541,5,-9,0,0,54,302,1570,0.04061234112431866
